id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Aria Nova,world,peaceful,0.54,100,0.77,0.65,0.60
12,Pixel Parade,Bitstream,chip tune,playful,0.80,140,0.90,0.92,0.12
13,Blue Horizon,Waveform,blues,melancholic,0.48,85,0.30,0.50,0.75
14,Forest Spirits,Green Echo,folk,nostalgic,0.36,95,0.62,0.55,0.88
15,City Lights,Metro Pulse,disco,excited,0.89,128,0.85,0.91,0.20
16,Golden Hour,Sunset Drive,country,hopeful,0.60,110,0.70,0.68,0.55
17,Winter Waltz,Crystal Ensemble,classical,romantic,0.33,60,0.65,0.40,0.95
18,Digital Dream,Code Runner,edm,energetic,0.97,128,0.80,0.95,0.08
